"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"Unknown","Unknown","23648-GY523-36R","Italian Knit Blazer","Light Grey",298,"https://bonobos.com/products/unconstructed-italian-knit-blazer",,"We sourced knit cotton fabric from Italy to create a sharp and functional four-season blazer. It's unconstructed tailoring makes it perfect for spring and summer, but it still has enough weight and texture to work in the colder months as well. Wear it to work, or take it to Milan—it's your call.","https://bonobos.com/products/unconstructed-italian-knit-blazer","36R","Athletic"
"Summer Weight Jeans","Summer Weight Jeans","18081-BMC94-32X32","Summer Weight Jeans","Dark Wash",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","32X32","Tailored"
"Selvage Stretch Jeans","Selvage Stretch Jeans","19505-BLG95-32X36","Selvage Stretch Jeans","Resin Rinse",198,"https://bonobos.com/products/selvage-stretch-jeans","Durable, high-end fabric from Japan that gets better with age.","Durable, high-end fabric from Japan that gets better with age.","https://bonobos.com/products/selvage-stretch-jeans","32X36","Straight"
"DG - Basic","DG - Basic","21835-BLF23-15X33","Daily Grind Wrinkle Free Dress Shirt","Blue Gingham",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","15X33","Slim"
"DG - Seasonal Basic","DG - Seasonal Basic","21801-RD667-16.5X33","Daily Grind Wrinkle Free Dress Shirt","Red Wavell Check",48,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","16.5X33","Tailored"
"DG - Seasonal Basic","DG - Seasonal Basic","23280-BNC24-16.5X33","Daily Grind Wrinkle Free Dress Shirt","Blue Begonia Check",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","16.5X33","Standard"
"Jetsetter Cotton","Jetsetter Cotton","18015-BLP98-38S","Jetsetter Stretch Italian Cotton Suit Jacket","Light Navy",350,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket",,,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket","38S","Slim"
"Brushed Button-Down","Brushed Button-Down","22607-BNB49-XXLXREG","Brushed Button-Down Shirt","Green Rivington Check",48,"https://bonobos.com/products/brushed-button-down-shirt","A warmer button-down brushed to a soft finish.","A warmer button-down brushed to a soft finish.","https://bonobos.com/products/brushed-button-down-shirt","XXLXREG","Standard"
"Stretch Oxford","Stretch Oxford","19489-WT348-XSXSHOR","Stretch Oxford Shirt","White",88,"https://bonobos.com/products/stretch-oxford-shirt","The look of a classic Oxford with added stretch for comfort.","The look of a classic Oxford with added stretch for comfort.","https://bonobos.com/products/stretch-oxford-shirt","XSXSHOR","Tailored"
"Italian Brushed 5-Pocket Pant","Italian Brushed 5-Pocket Pant","19754-KH154-36X32","Italian Brushed 5-Pocket Pants","Camel",148,"https://bonobos.com/products/italian-brushed-5-pocket-pant","Brushed-soft Italian stretch fabric in a 5-pocket construction.","Brushed-soft Italian stretch fabric in a 5-pocket construction.","https://bonobos.com/products/italian-brushed-5-pocket-pant","36X32","Straight"
"Tech Blazer","Tech Blazer","21326-MUA24-44L","Tech Blazer","Solid Navy",400,"https://bonobos.com/products/tech-blazer","Styled for modern life with performance features & a tailored look.","Styled for modern life with performance features & a tailored look.","https://bonobos.com/products/tech-blazer","44L","Slim"
"Washed Button-Down","Washed Button-Down","22582-BNB45-LXREG","Washed Button Down Shirt","Teal Maxwell Plaid",88,"https://bonobos.com/products/washed-button-down-shirt-cshrt00501","A washed-soft, all-season shirt in a range of colors & prints.","A washed-soft, all-season shirt in a range of colors & prints.","https://bonobos.com/products/washed-button-down-shirt-cshrt00501","LXREG","Tailored"
"Canvas Workwear Pant","Canvas Workwear Pant","21573-BR541-30X30","Canvas Workwear Pants","Brown Sugar",58,"https://bonobos.com/products/canvas-workwear-pant","Durable stretch canvas with workwear details & extra back pocket.","Durable stretch canvas with workwear details & extra back pocket.","https://bonobos.com/products/canvas-workwear-pant","30X30","Tailored"
"Riviera Short Sleeve","Riviera Short Sleeve","20209-GRS39-LXSHOR","Riviera Short Sleeve Shirt","Green Tencel",58,"https://bonobos.com/products/riviera-short-sleeve-shirt-cshrt00500","A bestseller for a reason. Original prints, bold colors, a better fit.","A bestseller for a reason. Original prints, bold colors, a better fit.","https://bonobos.com/products/riviera-short-sleeve-shirt-cshrt00500","LXSHOR","Slim"
"The Military Jacket","The Military Jacket","19093-MUZ38-LXSHOR","The Military Jacket","Camo",48,"https://bonobos.com/products/the-military-jacket-cshrt00532",,,"https://bonobos.com/products/the-military-jacket-cshrt00532","LXSHOR","Slim"
"Stretch Weekday Warriors","Stretch Weekday Warriors","22815-BK389-44X30","Stretch Weekday Warrior Dress Pants","Tuesday Black",98,"https://bonobos.com/products/stretch-weekday-warrior-dress-pants-pants00204","Wrinkle-resistant, easy-care cotton that simplifies your work day.","Wrinkle-resistant, easy-care cotton that simplifies your work day.","https://bonobos.com/products/stretch-weekday-warrior-dress-pants-pants00204","44X30","Straight"
"Stretch Washed Chinos","Stretch Washed Chinos","22818-KH087-52X30","Stretch Washed Chinos","The Khakis",88,"https://bonobos.com/products/stretch-washed-chinos-pants00203","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chinos-pants00203","52X30","Straight"
"Yarn Spun Crewneck Tee","Yarn Spun Crewneck Tee","16626-NA079-L","Yarn Spun Tee","Heather Pink",18,"https://bonobos.com/products/yarn-spun-tee-knits00345",,,"https://bonobos.com/products/yarn-spun-tee-knits00345","L","Slim"
"Fashion Unconstructed Blazer","Fashion Unconstructed Blazer","22324-BNB10-42L","Unconstructed British Wool Blazer","Craig Cobalt Blue",400,"https://bonobos.com/products/unconstructed-british-wool-blazer",,,"https://bonobos.com/products/unconstructed-british-wool-blazer","42L","Standard"
"Tuxedo Shirt","Tuxedo Shirt","22802-BNB82-16X33","Tuxedo Shirt","Navy Texture",118,"https://bonobos.com/products/tuxedo-shirt-dshrt00167","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","https://bonobos.com/products/tuxedo-shirt-dshrt00167","16X33","Slim"
"The M-Flex Flatiron Polo","The M-Flex Flatiron Polo","23840-BLV62-XL","M-Flex Golf Polo","Heather Indigo",68,"https://bonobos.com/products/the-m-flex-flatiron-golf-polo",,,"https://bonobos.com/products/the-m-flex-flatiron-golf-polo","XL","Standard"
"Pattern Highland Golf Pant","Pattern Highland Golf Pant","17895-BMD01-34X34","Highland Golf Pants","Blue Windowpane",88,"https://bonobos.com/products/highland-golf-pants-golfg00091",,,"https://bonobos.com/products/highland-golf-pants-golfg00091","34X34","Straight"
"The Lightweight 5-Pocket Golf Pant","The Lightweight 5-Pocket Golf Pant","23292-GYS25-35X34","Lightweight 5-Pocket Golf Pants","Heather Grey",98,"https://bonobos.com/products/lightweight-5-pocket-golf-pants",,,"https://bonobos.com/products/lightweight-5-pocket-golf-pants","35X34","Slim"
"The Blue Jean","The Blue Jean","19511-BLJ89-30X30","The Blue Jean","Superior Dark Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","30X30","Slim"
"Pique Polo","Pique Polo","19465-BNC43-XL","Classic Pique Polo","Heather Sky",68,"https://bonobos.com/products/classic-pique-polo","Your everyday polo made from soft Peruvian piqué cotton.","A rule to live by: when the weather gets warm, a drawer of classic polo shirts is an absolute necessity. They go with everything (think chinos, denim, even a sport coat) and they're designed to be breathable and cool. Our Classic Piqué Polo is made from some of the softest piqué cotton around, and it comes in every color you need.","https://bonobos.com/products/classic-pique-polo","XL","Standard"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BLQ53-33X30","Stretch Washed Chinos","After Midnights",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X30","Slim"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-KH110-34X36","Stretch Washed Chinos","Chestnuts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","34X36","Tailored"
"Travel Jeans","Travel Jeans","20067-BMC98-31X30","Travel Jeans","Memphis Blues",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","31X30","Tailored"
"Pique Polo","Pique Polo","19464-RD723-XS","Classic Pique Polo","Heather Red",68,"https://bonobos.com/products/classic-pique-polo","Your everyday polo made from soft Peruvian piqué cotton.","A rule to live by: when the weather gets warm, a drawer of classic polo shirts is an absolute necessity. They go with everything (think chinos, denim, even a sport coat) and they're designed to be breathable and cool. Our Classic Piqué Polo is made from some of the softest piqué cotton around, and it comes in every color you need.","https://bonobos.com/products/classic-pique-polo","XS","Slim"
"Washed Chino Shorts","Washed Chino Shorts","15041-GR359-29","Washed Chino Shorts","Faded Olive",38,"https://bonobos.com/products/washed-chino-shorts","The shorts version of our original better-fitting chinos.","It seems obvious, but great pants ought to make great shorts, no? We thought so. Which is why we took the same formula of soft twill fabric and perfect fit from our Washed Chinos, and used it in an amazing pair of summer shorts. No, you don't have to give up your favorite Washed Chinos when the sun comes out. You just have to make them a little bit shorter.","https://bonobos.com/products/washed-chino-shorts","29",
"Stretch Washed Chinos","Stretch Washed Chinos","15175-GY003-33X34","Stretch Washed Chinos","Grey Dogs",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X34","Tailored"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18771-KH110-33X32","Stretch Washed Chinos","Chestnuts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X32","Slim"
"Tuxedo Shirt","Tuxedo Shirt","15334-WT124-15.5X32","Tuxedo Shirt","White",168,"https://bonobos.com/products/tuxedo-shirt","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","We've always felt that you shouldn't have to go to a tailor for a great dress shirt, and for us, the Americano is proof. The most luxurious dress shirt we offer, it starts with premium cotton fabric from one of Italy's most celebrated mills. We cut and stitch the cloth to a crisp, elegant fit, and finish it with mother-of-pearl-buttons, double knife pleats, and a split-back yoke. The Americano will pair wonderfully with your favorite suit and tie, but it can go just as well with a great pair of selvage denim or chinos.","https://bonobos.com/products/tuxedo-shirt","15.5X32","Tailored"
"Jetsetter Core Suit Jacket","Jetsetter Core Suit Jacket","15400-BK395-40S","Jetsetter Stretch Wool Suit Jacket","Black",350,"https://bonobos.com/products/jetsetter-stretch-wool-suit-jacket",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-jacket","40S","Slim"
"Jetsetter Core Suit Pants","Jetsetter Core Suit Pants","15402-GY442-34X37UH","Jetsetter Stretch Wool Suit Pant","Charcoal",200,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","34X37UH","Slim"
"Jetsetter Fashion","Jetsetter Fashion","20685-BLS94-31X37UH","Jetsetter Stretch Wool Suit Pant","Brighter Blue",250,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","31X37UH","Tailored"
"Summer Weight Jeans","Summer Weight Jeans","18080-BLF96-36X28","Summer Weight Jeans","Rinse",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","36X28","Straight"
"Selvage Stretch Jeans","Selvage Stretch Jeans","19505-BLG95-38X34","Selvage Stretch Jeans","Resin Rinse",198,"https://bonobos.com/products/selvage-stretch-jeans","Durable, high-end fabric from Japan that gets better with age.","Durable, high-end fabric from Japan that gets better with age.","https://bonobos.com/products/selvage-stretch-jeans","38X34","Straight"
"Travel Jeans","Travel Jeans","20065-BK449-34X36","Travel Jeans","Manhattan Midnight",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","34X36","Slim"
"Fashion Jetsetter Blazer","Fashion Jetsetter Blazer","19967-BLV75-46L","Jetsetter Stretch Wool Blazer","Chris Blue Windowpane",450,"https://bonobos.com/products/jetsetter-stretch-wool-blazer",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile wool blazer with a hint of stretch for extra comfort. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. Wear it to work, wear it while you travel, wear it whenever you need to look your best. This blazer will take you places.","https://bonobos.com/products/jetsetter-stretch-wool-blazer","46L","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-KH099-33X34","Stretch Washed Chinos","Millstones",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X34","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-BL007-30X34","Stretch Washed Chinos","Jet Blues",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","30X34","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-KH087-34X28","Stretch Washed Chinos","The Khakis",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","34X28","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","17408-PPM01-33X30","Stretch Washed Chinos","Unicorn Pink",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X30","Athletic"
"Jetsetter Fashion","Jetsetter Fashion","20685-BLS94-32X37UH","Jetsetter Stretch Wool Suit Pant","Brighter Blue",250,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","32X37UH","Tailored"
"Summer Weight Chinos","Summer Weight Chinos","20061-OL075-29X28","Summer Weight Chinos","Olive",48,"https://bonobos.com/products/summer-weight-chinos","The lightest version of our signature chinos. Cool, breathable cotton.","Cool, crisp, and breathable in the heat, the Summer Weight Chinos bring a lighter fabric weight to your favorite class of pant. They can do everything our great-fitting Washed Chinos can do, but they do it . . . well, a little bit cooler. From May picnics to July barbecues to hot August nights at rooftop parties, these are the chinos you can wear starting the first sunny days of spring, right on through until Indian summer. Yep. Pretty cool.","https://bonobos.com/products/summer-weight-chinos","29X28","Straight"
"Summer Weight Chinos","Summer Weight Chinos","20121-OL075-34X34","Summer Weight Chinos","Olive",48,"https://bonobos.com/products/summer-weight-chinos","The lightest version of our signature chinos. Cool, breathable cotton.","Cool, crisp, and breathable in the heat, the Summer Weight Chinos bring a lighter fabric weight to your favorite class of pant. They can do everything our great-fitting Washed Chinos can do, but they do it . . . well, a little bit cooler. From May picnics to July barbecues to hot August nights at rooftop parties, these are the chinos you can wear starting the first sunny days of spring, right on through until Indian summer. Yep. Pretty cool.","https://bonobos.com/products/summer-weight-chinos","34X34","Slim"
"Summer Weight Jeans","Summer Weight Jeans","18082-BMC96-38X30","Summer Weight Jeans","Sundeck Bleach Wash",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","38X30","Athletic"
"Stretch Wool Dress Pants","Stretch Wool Dress Pants","16936-BK511-33X34","Stretch Wool Dress Pants","Black Slub",128,"https://bonobos.com/products/stretch-wool-dress-pants","Versatile four-season wool pants with a hint of stretch.","What happens when first-class comfort meets a world-class fit? Something incredible. These versatile four-season wool pants have a hint of stretch for comfort while you move, and they're designed to bounce back from whatever comes your way. Whether it's a long flight overseas, or simply a busy week at the office, the Stretch Wool Dress Pant will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose dress pant that can recover and perform after just about anything.","https://bonobos.com/products/stretch-wool-dress-pants","33X34","Athletic"
"DG - Basic","DG - Basic","16042-BLF23-15.5X34","Daily Grind Wrinkle Free Dress Shirt","Blue Gingham",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","15.5X34","Slim"
"DG - Basic","DG - Basic","16049-BLF23-17.5X35","Daily Grind Wrinkle Free Dress Shirt","Blue Gingham",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","17.5X35","Tailored"
"Travel Jeans","Travel Jeans","20068-KH183-35X30","Travel Jeans","Richmond Khaki",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","35X30","Athletic"
"The Blue Jean","The Blue Jean","19511-BL969-35X36","The Blue Jean","Saratoga Dark Rinse",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","35X36","Slim"
"The Blue Jean","The Blue Jean","19514-BMB50-29X30","The Blue Jean","Atwood Medium Wash",78,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","29X30","Athletic"
"Summer Weight Shorts","Summer Weight Shorts","21224-GRS58-33","Summer Weight Shorts","Jasper Green",28,"https://bonobos.com/products/summer-weight-shorts","The lightest version of our signature chino shorts.","Shorts are already missing their bottom half. How do you make them even more wearable in warm weather? On our end, we sourced some of the lightest, most comfortable cotton we could find. Wearing these lightweight wonders is the next best thing to wearing nothing at... well, let's just say they're really comfortable in the heat. They're great for vacations, superb for barbecues and ball games, and they do beach weekends like you wouldn't believe.","https://bonobos.com/products/summer-weight-shorts","33","Standard"
"Tuxedo Fashion Suit Pants","Tuxedo Fashion Suit Pants","22393-BNB24-38S","Capstone Italian Wool Tuxedo Jacket","Sebastian Navy Dot Jacquard",650,"https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket","38S","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14851-OL001-33X36","Stretch Washed Chinos","Congos",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X36","Straight"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-KH087-40X32","Stretch Washed Chinos","The Khakis",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","40X32","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14851-GY431-33X30","Stretch Washed Chinos","Asphalts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X30","Straight"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-OL001-32X28","Stretch Washed Chinos","Congos",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","32X28","Tailored"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-BK438-35X30","Stretch Washed Chinos","Jet Blacks",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","35X30","Tailored"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18773-GY437-29X28","Stretch Washed Chinos","Graphites",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","29X28","Athletic"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-RD693-28X32","Stretch Washed Chinos","Lobster Rolls",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","28X32","Slim"
