"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"The Blue Jean","The Blue Jean","19511-BLE60-36X32","The Blue Jean","Roanoke Medium Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","36X32","Slim"
"Tuxedo Core","Tuxedo Core","22219-BK005-42L","Capstone Italian Wool Tuxedo Jacket","Black Notch Lapel",650,"https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket","42L","Athletic"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-KH087-33X36","Stretch Washed Chinos","The Khakis",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X36","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-YL136-32X32","Stretch Washed Chinos","Candelabras",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","32X32","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BMC46-30X34","Stretch Washed Chinos","Aquaticas",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","30X34","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","17408-BMC46-35X32","Stretch Washed Chinos","Aquaticas",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","35X32","Athletic"
"Tuxedo Shirt","Tuxedo Shirt","14913-WT216-15X33","Tuxedo Shirt","White Pique Bib",168,"https://bonobos.com/products/tuxedo-shirt","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","We've always felt that you shouldn't have to go to a tailor for a great dress shirt, and for us, the Americano is proof. The most luxurious dress shirt we offer, it starts with premium cotton fabric from one of Italy's most celebrated mills. We cut and stitch the cloth to a crisp, elegant fit, and finish it with mother-of-pearl-buttons, double knife pleats, and a split-back yoke. The Americano will pair wonderfully with your favorite suit and tie, but it can go just as well with a great pair of selvage denim or chinos.","https://bonobos.com/products/tuxedo-shirt","15X33","Tailored"
"Summer Weight Jeans","Summer Weight Jeans","18080-BLX17-34X32","Summer Weight Jeans","North Shore Light Wash",58,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","34X32","Straight"
"Summer Weight Jeans","Summer Weight Jeans","18079-BMC96-33X32","Summer Weight Jeans","Sundeck Bleach Wash",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","33X32","Slim"
"Stretch Wool Dress Pants","Stretch Wool Dress Pants","15687-GY001-29X32","Stretch Wool Dress Pants","Charcoal",198,"https://bonobos.com/products/stretch-wool-dress-pants","Versatile four-season wool pants with a hint of stretch.","What happens when first-class comfort meets a world-class fit? Something incredible. These versatile four-season wool pants have a hint of stretch for comfort while you move, and they're designed to bounce back from whatever comes your way. Whether it's a long flight overseas, or simply a busy week at the office, the Stretch Wool Dress Pant will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose dress pant that can recover and perform after just about anything.","https://bonobos.com/products/stretch-wool-dress-pants","29X32","Slim"
